N° Test,Tempo_Di_CPU_Con_Random_Input,Tempo_Di_CPU_ControEsempio,Tempo_Di_Esecuzione_Nomad_Intero_ControEsempio,RAM_Utilizzata_da_MATLAB_per_il_processo (KB),Prove_Totali_Svolte_Da_Nomad
1,0.560000000000002,0.25,1119.178268,10010272,4099
2,0.269999999999982,0.259999999999764,1274.044045,10081108,4293
3,0.2800000000002,0.260000000000218,1188.779066,10083156,4187
4,0.269999999999527,0.270000000000437,1244.459421,10083156,4234
5,0.289999999999964,0.270000000000437,1179.222641,10083156,3971
6,0.329999999999927,0.420000000000073,3392.07411,10084876,8297
7,0.409999999999854,0.440000000000509,4047.830833,10101736,8414
8,0.559999999999995,0.289999999999964,2877.9389,10020652,8430
9,0.3100000000004,0.300000000000182,2845.219304,10106028,8090
10,0.319999999999709,0.420000000000073,3083.732115,10107052,8214
11,0.43999999999869,0.489999999997963,6541.905028,10108076,12424
12,0.4617,0.329999999999927,4977.930178,9958140,12457
13,0.640000000000001,0.380000000001019,7828.212051,10052408,16629
14,0.660000000000004,0.450000000000728,11356.864958,10085340,20910
